Review,Sentiment,label
Mens innerwear range just ok,Neutral,1
Billing experience average overall,Neutral,1
Parking charges too high here,Negative,0
Mens elastic holds well 💯,Positive,2
Staff gave wrong information today,Negative,0
Parking well organised and easy,Positive,2
Billing was transparent and clear,Positive,2
Fabric gets rough after drying,Negative,0
Bra padding quality is good,Positive,2
Maternity briefs cut too low,Negative,0
Trial room mirrors are blurry,Negative,0
Colour faded after one wash 😠,Negative,0
Grt colour range for women,Positive,2
Comfortable mens briefs overall,Positive,2
Staff seemed irritated by questions,Negative,0
Bra range very wide 😍,Positive,2
Billing error repeated second time 😠,Negative,0
Bra comfort all day 💯,Positive,2
"Ambience average, seen better stores",Neutral,1
Mens quality gone down tbh 👎,Negative,0
"Seating available, appreciated it",Positive,2
Trial room very poorly maintained,Negative,0
Staff very attentive to family,Positive,2
Ambience is pleasant and relaxing,Positive,2
Cashier understood our needs well,Positive,2
Parking available near entrance,Positive,2
Trial rooms locked during busy hours,Negative,0
No one to help at all,Negative,0
Staff did not inform discounts,Negative,0
Mens colour faded quickly 😠,Negative,0
Kids sizing spot on here,Positive,2
Mens colour options just ok,Neutral,1
Staff average across all sections,Neutral,1
Mens collection very impressive here,Positive,2
No ramp for elderly customers,Negative,0
Mens colour range very boring,Negative,0
Cashier accurate and professional,Positive,2
Staff just ok for weekday,Neutral,1
Trial rooms always occupied 😞,Negative,0
Mens collection average tbh,Neutral,1
Store layout easy to understand,Positive,2
Store corridors too narrow tbh,Negative,0
Staff just adequate for store,Neutral,1
"Billing machine slow, staff rude",Negative,0
"Cashier decent, could be better",Neutral,1
Staff not helpful at all 👎,Negative,0
Good variety for children here,Positive,2
"Billing no errors, smooth 💯",Positive,2
Staff pointed without explaining,Negative,0
Seating ok but need more,Neutral,1
"Billing fine, no major issues",Neutral,1
Store layout very logical here,Positive,2
Kids fabric irritates skin badly,Negative,0
Staff average for weekend crowd,Neutral,1
Staff knowledgeable about all products,Positive,2
Store ambience is really pleasant 😊,Positive,2
Manager ignored my presence completely,Negative,0
